156-SPLTRX-PROMO REFUND-EATIN  |64
156-SPLTRX-PROMO REFUND-TAKEOUT |65
156-SPLTRX-PROMO REFUND-OTHER  |66
156-SPLTRX-PROMO REFUND-NULL |67
156-SPLTRX-PROMO SALE-EATIN    |0
156-SPLTRX-PROMO SALE-TAKEOUT   |1  
156-SPLTRX-PROMO SALE-OTHER    |22
156-SPLTRX-PROMO SALE-NULL   |23 
156-SPLTRX-PROMO WASTE-EATIN  |8
156-SPLTRX-PROMO WASTE-TAKEOUT |9
156-SPLTRX-PROMO WASTE-OTHER  |10
156-SPLTRX-PROMO WASTE-NULL |11
156-SPLTRX-PROMO SALE-OTHER|22
156-SPLTRX-PROMO SALE-NULL|23
156-SPLTRX-PROMO SALE-EATIN|1
156-SPLTRX-PROMO SALE-TAKEOUT|2
156-SPLTRX-RECALLED - CREW DISCOUNT-EATIN  |16
156-SPLTRX-RECALLED - CREW DISCOUNT-TAKEOUT |17
156-SPLTRX-RECALLED - CREW DISCOUNT-EATIN  |16
156-SPLTRX-RECALLED - CREW DISCOUNT-TAKEOUT |17
156-SPLTRX-RECALLED - GENERIC DISCOUNT-EATIN  |2
156-SPLTRX-RECALLED - GENERIC DISCOUNT-TAKEOUT |3
156-SPLTRX-RECALLED - GENERIC DISCOUNT-EATIN  |2
156-SPLTRX-RECALLED - GENERIC DISCOUNT-TAKEOUT |3
156-SPLTRX-RECALLED - MANAGER DISCOUNT-EATIN  |32
156-SPLTRX-RECALLED - MANAGER DISCOUNT-TAKEOUT |33
156-SPLTRX-RECALLED - MANAGER DISCOUNT-EATIN  |32
156-SPLTRX-RECALLED - MANAGER DISCOUNT-TAKEOUT |33
156-SPLTRX-RECALLED - SALE-EATIN             |0
156-SPLTRX-RECALLED - SALE-TAKEOUT             |1
156-SPLTRX-RECALLED - SALE-OTHER|22
156-SPLTRX-RECALLED - SALE-NULL|23
156-SPLTRX-RECALLED - WASTE-EATIN  |8
156-SPLTRX-RECALLED - WASTE-TAKEOUT |9
156-SPLTRX-RECALLED - WASTE-OTHER  |10
156-SPLTRX-RECALLED - WASTE-NULL |11
156-SPLTRX-RECALLED - REFUND-EATIN  |64
156-SPLTRX-RECALLED - REFUND-TAKEOUT |65
156-SPLTRX-RECALLED - REFUND-OTHER  |66
156-SPLTRX-RECALLED - REFUND-NULL |67
156-SPLTRX-RECALLED - PROMO SALE-EATIN             |0
156-SPLTRX-RECALLED - PROMO SALE-TAKEOUT             |1
156-SPLTRX-RECALLED - PROMO SALE-OTHER|22
156-SPLTRX-RECALLED - PROMO SALE-NULL|23
156-SPLTRX-RECALLED - PROMO GENERIC DISCOUNT-EATIN  |2
156-SPLTRX-RECALLED - PROMO GENERIC DISCOUNT-TAKEOUT |3
156-SPLTRX-RECALLED - PROMO GENERIC DISCOUNT-OTHER  |4
156-SPLTRX-RECALLED - PROMO GENERIC DISCOUNT-NULL |5
156-SPLTRX-RECALLED - PROMO REFUND-EATIN  |64
156-SPLTRX-RECALLED - PROMO REFUND-TAKEOUT |65
156-SPLTRX-RECALLED - PROMO REFUND-OTHER  |66
156-SPLTRX-RECALLED - PROMO REFUND-NULL |67
156-SPLTRX-RECALLED - PROMO CREW DISCOUNT-EATIN  |16
156-SPLTRX-RECALLED - PROMO CREW DISCOUNT-TAKEOUT |17
156-SPLTRX-RECALLED - PROMO CREW DISCOUNT-EATIN  |16
156-SPLTRX-RECALLED - PROMO CREW DISCOUNT-TAKEOUT |17
156-SPLTRX-RECALLED - PROMO GENERIC DISCOUNT-EATIN  |2
156-SPLTRX-RECALLED - PROMO GENERIC DISCOUNT-TAKEOUT |3
156-SPLTRX-RECALLED - PROMO GENERIC DISCOUNT-EATIN  |2
156-SPLTRX-RECALLED - PROMO GENERIC DISCOUNT-TAKEOUT |3
